region,mr,hot,throughput,p50,p90,p99,p0,p100
3,0,0,2466.5726943681043,11828,13828,30840,10404,1022243
1,0,0,2505.07901712404,11671,13136,29786,10235,1035144
2,0,0,2547.5765646964805,11534,13024,29250,10112,1032068
3,0,1000,2346.833732550401,11869,19000,33483,10200,1060845
1,0,1000,2408.82644049481,11645,18173,31095,10057,1024712
2,0,1000,2448.7367335775725,11566,17735,30735,10033,1022428
3,0,500,2013.1067604870404,11901,21768,43165,10008,1084661
1,0,500,1996.3257041627887,11606,21548,47703,9816,1057769
2,0,500,2077.850263527962,11600,21079,38813,9829,2010429
3,0,100,458.1312563456518,16601,34582,1007814,9899,2021025
1,0,100,476.4493508377595,15520,32735,1007976,9788,2949628
2,0,100,482.6977816135128,15641,32424,1005658,9686,3017653
3,0,10,4.32498132847894,1029099,4015968,8029420,2603,13023171
1,0,10,3.766641361742225,2008815,4020353,6030781,4077,8041084
2,0,10,3.5499915672908644,2012383,4034345,8019630,4229,10035552
3,0,1,236.33984912262997,11837,13861,31145,2724,110051
1,0,1,190.22482939527654,15455,16743,20932,4501,88363
2,0,1,188.39892172703134,15601,16915,20947,4433,79711
3,5,0,2211.8649797385365,12480,19705,43959,10323,1036369
1,5,0,2305.2744268703564,12070,18242,40333,10217,1027561
2,5,0,2298.4553110178294,11997,18280,49648,10006,1026613
3,5,1000,2128.4928993475214,12459,21612,44291,10172,1023918
1,5,1000,2194.098553870396,12153,21042,40523,10093,1045132
2,5,1000,2174.708848697091,12102,20781,48762,9938,1030671
3,5,500,1924.9173102120012,12540,23624,43153,9906,1046296
1,5,500,1961.4573953807521,12207,22946,40608,10026,1114979
2,5,500,1929.9368465046473,12156,22969,44984,9795,1034209
3,5,100,337.6905379782548,16800,46515,1009659,9893,2020472
1,5,100,354.1815150953014,16128,44410,1007441,9854,2041326
2,5,100,364.41631891935754,16703,44486,1002050,9580,2028813
3,5,10,4.4833325781533215,1883236,4130863,7025629,2278,8043076
1,5,10,4.583299157161091,1026900,4013778,9008741,4256,12042556
2,5,10,5.124976581932007,1047186,4032360,6929382,4025,9158947
3,5,1,168.1913284647402,11791,20494,35759,1853,2037101
1,5,1,131.8325632345138,15622,25744,39032,3183,2028625
2,5,1,131.96639196652487,15678,25543,38968,2636,1965857
3,10,0,2160.2998505072505,12762,21362,38163,10118,1022290
1,10,0,2198.1506260677006,12438,20883,38671,10270,1017934
2,10,0,2184.1103831085006,12366,21033,48727,10146,249525
3,10,1000,2042.2328662066025,12879,23195,42731,10410,1021908
1,10,1000,2095.4062788995793,12636,22455,37918,10266,1020634
2,10,1000,2085.681837621365,12523,22351,39110,10027,1059749
3,10,500,1754.5604392345424,13000,25430,55404,10022,1045087
1,10,500,1700.0904227106128,12925,25613,76313,10074,1031638
2,10,500,1746.695550927957,12545,24847,58527,9788,1028730
3,10,100,397.31475223864254,18286,43613,994797,9472,2014491
1,10,100,408.57444086928245,18056,41825,985306,9899,2056996
2,10,100,392.46489628368386,17851,42851,994692,9748,2773200
3,10,10,4.9749876735145,1037198,4032369,6061700,2347,8149513
1,10,10,4.266665215858271,2007011,4045471,8058225,4028,11089186
2,10,10,4.1166665008679235,2011456,4978818,8106409,3068,11134025
3,10,1,74.79118650039348,12079,22835,1020623,1597,3015773
1,10,1,59.641470130627155,15979,27272,1028671,2752,3046675
2,10,1,59.774537023297185,15948,27039,1028354,2458,3041351
3,25,0,1877.466414857647,14177,24733,37144,10402,188356
1,25,0,1930.7906937412363,13670,24038,37182,10227,1031267
2,25,0,1941.840819186973,13639,24299,36734,10160,140860
3,25,1000,1658.261702316496,14458,27269,56053,10342,1656754
1,25,1000,1747.2261742779272,13989,26185,51504,9800,1658085
2,25,1000,1744.2951446236427,13851,26165,49110,10032,1766914
3,25,500,1516.4972090385365,15055,30017,63508,10135,1049873
1,25,500,1551.3474869204945,14508,30074,65120,9870,1027105
2,25,500,1580.5829590375727,14385,29192,68771,9960,1033626
3,25,100,427.02261320336424,20605,45832,967572,9902,2670979
1,25,100,448.26461060764166,20035,44829,961726,9009,2010812
2,25,100,457.5963866511457,19649,43448,968835,9728,2036871
3,25,10,5.933292912824809,1046204,4044771,7062461,2347,9086467
1,25,10,4.816638915320585,2006078,4079783,7198760,4114,11047697
2,25,10,4.833331995104537,1060718,4050267,8136179,3329,12061986
3,25,1,15.224979178952848,18112,1019410,2043316,1711,3086742
1,25,1,12.649919067609877,22638,1025696,2057015,2776,4043115
2,25,1,11.749905921440764,21142,1026707,2050094,2890,4033780
3,50,0,1426.0427086911652,21681,31491,56727,10117,1030831
1,50,0,1467.0852714952596,21194,30815,52657,9986,1031442
2,50,0,1489.9248871850527,20451,30176,55276,10009,1032713
3,50,1000,1310.3495952766884,22641,34134,80064,10261,1020123
1,50,1000,1351.4480364023134,22108,33448,74451,9812,1031372
2,50,1000,1351.072831460552,21848,33649,76548,10119,621639
3,50,500,1272.6178777834418,23164,35375,59208,10350,1050079
1,50,500,1299.7480587491102,22467,34618,57871,10083,1041906
2,50,500,1302.5018824756767,22325,34797,60669,10014,1043959
3,50,100,422.48812461776896,24645,58753,948549,9873,1997852
1,50,100,444.215820553986,24040,55636,950892,9660,2057340
2,50,100,456.8980625732629,23748,54903,946325,9717,1985885
3,50,10,8.458318979706998,1018152,3042622,6080849,1594,11125601
1,50,10,7.641639629526772,1025671,3069515,6086249,2947,9142080
2,50,10,7.741615675289266,1018314,3057360,10068851,2433,14151439
3,50,1,1.949995567822574,1022274,3049279,7099872,1967,9079947
1,50,1,1.5416620588828691,1027594,4047569,7066314,2954,9067193
2,50,1,1.7666635266725252,1023774,3100854,8037101,2786,9070006
3,75,0,1398.1934418202677,22255,34748,57269,2374,351701
1,75,0,1277.2897645129806,24292,37062,62052,4017,334327
2,75,0,1291.775643845047,24134,36832,58976,4124,375872
3,75,1000,1265.275710943412,23161,37455,74708,2366,1026315
1,75,1000,1141.8857486915226,25406,40786,77868,4260,1049080
2,75,1000,1145.1656719003308,25282,40598,75577,3999,1052942
3,75,500,1163.8103538683547,23773,40365,80056,2394,1079788
1,75,500,1022.0379662078703,26235,44752,97233,4129,1079590
2,75,500,1076.4853799651355,25496,42675,83349,4292,1103983
3,75,100,443.98074047100965,22658,55536,941223,2200,2055650
1,75,100,403.6881035304412,25140,59302,948723,3950,1980079
2,75,100,405.26594722167107,25400,60200,946912,3776,1988175
3,75,10,13.099965846096547,988693,2084193,5068672,1557,11180716
1,75,10,9.84160338745326,1020304,3032681,4992390,3829,7071501
2,75,10,11.966632244549293,1001818,3007201,5064637,2735,9110304
3,75,1,0.6916611211756424,2077769,7054237,11097882,1858,13083726
1,75,1,1.0833318508749452,49929,7018126,15137065,3028,16138585
2,75,1,0.549997743606757,2043559,8068507,13133096,2987,18139617
3,100,0,1026.1589648647612,29552,38083,55173,14647,126989
1,100,0,1044.3218878772607,29034,37556,55260,13934,119064
2,100,0,1062.599907482968,28633,37146,55445,13732,150269
3,100,1000,922.8323687889415,30750,42287,79921,14000,1038291
1,100,1000,931.9091153061485,30425,41984,77839,13409,1039106
2,100,1000,969.525148424284,29628,40729,70807,13826,1138174
3,100,500,859.2511278610275,31552,45934,84425,14135,1093573
1,100,500,883.3320140769703,30793,44639,79003,13448,1089073
2,100,500,901.1215269049203,30249,44372,80355,12845,1058129
3,100,100,380.55674654806637,29449,65844,955519,11814,2043067
1,100,100,394.2806798013586,28711,63750,947567,11919,2053853
2,100,100,415.74862520244614,27372,61855,953041,10266,2813081
3,100,10,10.49162629759901,68151,1078019,3110250,6769,6211218
1,100,10,16.349880707046644,40402,1024350,3028809,3730,6081308
2,100,10,8.991605333877663,58528,1070779,3098127,6691,6101630
3,100,1,0.20833197170681605,54593,42235141,51280023,15142,56291995
1,100,1,0.04166655159545668,25124572,59291482,73336707,10316,84400776
2,100,1,0.016666580298364236,33184404,71341845,89985581,1063229,89985581
